id,user_id,date,text,likes,replies,retweets,label
1091301223179923457,3293062757,2019-02-01 11:44:21,"""Plus size"" [aka obese] activist who advocated fat acceptance, dies of heart attack at just 49yo https://twitter.com/PrisonPlanet/status/1091297426542153729 …",2,0,0,0
782286368315670528,2194166658,2016-10-01 18:29:39,"""You can make fun of fat guys but not fat girls 'cause they kill themselves"" Wieviele Männer sind eigl. in der Fat Acceptance Bewegung? °L°",0,0,0,1
830950203301695489,37188820,2017-02-13 01:22:21,Keith Haring meets Bert & Ernie. And the Adipositivity Valentine Series continues… http://theadipositivityproject.zenfolio.com/valentine/e81ee697f … #FatAcceptance #BigBigLove,0,0,0,0
162464749714542593,378854048,2012-01-26 09:19:49,"foggypebble asked: Are you for or against fat acceptance? Personally, I think there needs to be THIN... http://tmblr.co/ZUaLlxFOORt2 ",0,0,0,1
899730553603338243,2285631986,2017-08-21 20:30:54,"#FatAcceptance
Go on, encourage to love being fat and they die off #AskDarwin
http://dailycaller.com/2017/08/21/professors-encourage-the-obese-to-post-revealing-pictures-to-promote-fat-acceptance/?utm_source=site-share … via @dailycaller",0,0,0,1
464843368200429568,2420572932,2014-05-09 19:04:30,Positive Pop Song Remakes - This Body Positive Flawless Video Encourages Fat Acceptance (http://TrendHunter.com ) ...pic.twitter.com/d6Eix7FAFC,0,0,0,0
776579497420173313,4390612217,2016-09-16 00:32:34,"Quit it with the whole ""fat acceptance"" thing.  You're encouraging people in a disease that will kill them, and will make them miserable.",0,1,0,1
842772196141531137,2384307638,2017-03-17 16:18:44,"""national association to Advance fat acceptance"". Thank God for natural selection and biology overpowering bullshit ""social ""justice"" https://twitter.com/TheSafestSpace/status/842756058045136896 …",1,0,0,1
1151581954917183490,976331295382036480,2019-07-17 19:58:28,"Lol thin people can hate their bodies too. we should define the difference between the fat acceptance vs body positive movements, since we clearly aren’t communicating the same thing.",3,0,0,2
1163280649953824768,1058311240307552256,2019-08-19 02:44:54,"Also the West has “fat acceptance” and all that shit, while Japan does PSA Anime about going to the gym

Bullyciding works! Shaming works!

https://youtu.be/ULjbIMvP6A0 ",7,0,0,1
647487275912298496,82938680,2015-09-25 19:06:10,"The 'Fat and Fabulous' Farce - There are terms tossed about in the media recently: ""fat acceptance,"" ""fat and fabu... http://ow.ly/34Ezvs ",0,0,1,1
723276426888265728,296587479,2016-04-21 22:25:12,FYI: fitspo doesn't have to be anti body positivity or fat acceptance...just sayin',0,0,0,0
48793766009643008,10752192,2011-03-18 17:11:55,"I follow @silentbeep3000 because I have reservations/mixed feelings about the notion of ""fat activism"", ""fat acceptance"" etc. #FF",0,0,0,1
858092864475062273,825613359592722433,2017-04-28 22:57:36,"This is the left and their ""fat acceptance"" ideology, back when it was little. They haven't changed much! https://www.youtube.com/watch?v=2T_obaO46Bo …",2,0,1,1
630835752159551488,16631829,2015-08-10 20:18:58,"Finally, a study that confirms what I knew all along: fat acceptance is good for our health http://fb.me/6FHH5wZ4d ",0,0,0,0
642488580917620736,354459768,2015-09-12 00:03:09,Fat Acceptance? i agree it's not okay to insult fat people but that is UNHEALTHY AF! doing an anorexia acceptance movement would be similar,0,0,2,1
634850094139904000,2890635685,2015-08-21 22:10:32,I liked a @YouTube video http://youtu.be/PHZpU1ykdc8?a  Check Your Privilege Episode Two: Fat Acceptance,0,0,0,1
727240687180234752,694725321099235328,2016-05-02 20:57:45,@PrisonPlanet Fat acceptance is a religion. Jabba the Hut is an archbishop.,2,1,0,1
1004490097297850375,15868910,2018-06-06 22:27:56,Also I was going to make a comment on tumblr about how fat acceptance blogs helped me be less neurotic about my body but then I remembered telling someone I was worried that getting diagnosed with diabetes is a sign I was wrong to try to accept myself and they agreed it was,0,1,0,0
926505728738758657,3119431593,2017-11-03 17:45:54,"Please do a video on Fat acceptance. I wanted @ArmouredSkeptic to do one too, but he hasnt seen my commemts.",1,0,0,1
218266447103791104,47235744,2012-06-28 08:55:50,"Can you be healthy at any size?  - The rising fat acceptance movement says being overweight isn't... http://bit.ly/tZGpuX 
#women'shealth",0,0,0,2
825041557531222016,4919309414,2017-01-27 18:03:30,Fat men/masc people: why do you need fat acceptance?,8,7,11,1
515835926686490624,320154349,2014-09-27 12:10:43,I absolutely had a nightmare last night that I got called out for being a shit ally to the fat acceptance movement.,2,2,0,0
985775568175222785,718130220746846208,2018-04-16 07:03:04,#FatShaming #FatAcceptance #dietpains World's knowledge in 1 hand site: Women Admit Their Top Regrets -Can We Learn? http://bit.ly/1LjZ9ir ,0,0,0,2
899822330532290560,3052867861,2017-08-22 02:35:36,@Amyv_ntp I found a FB group for anti fat acceptance and I'm slightly in love. http://mutually.com/cringe/cringechannel/2017/08/04/big-on-activism/ …,2,1,0,1
859449244004093953,591320065,2017-05-02 16:47:22,"Maybe instead of the ridiculous fat acceptance movement, we should start a mind your fuckin' business movement.",0,1,0,1
358928017537515521,24708519,2013-07-21 12:34:42,What does it mean when folk refer to each other as 'fam'? Fat acceptance movement? Fertility awareness method? #imnoturbanenough,0,0,0,2
1166464950493073408,351336419,2019-08-27 21:38:10,"How Far Have We Really Come for Fat Acceptance?
A look at the progress made and the work to be done.
https://www.teenvogue.com/story/how-far-have-we-really-come-for-fat-acceptance …",1,0,1,0
1056311530449461258,15795841,2018-10-27 22:27:48,"Are you familiar with this hashtag? .
.
. -  @fearlesslyjustme wrote this impassioned article about @fatisnotaviolation and I am so HAPPY for @sehustlerosen and @misslouxavier ? #fatisnotaviolation
#fatbabe #fatacceptance
#plussize #bodypositi… https://www.instagram.com/bravebodylove/p/Bpc-BVnFpxY/ …pic.twitter.com/XA0A3LelG3",0,1,0,0
1173421645999960064,91338649,2019-09-16 02:21:36,"Hello! I’m Osa, a Lao American illustrator from California. My art often centers around LGBT+ characters and themes, mental health awareness and body positivity/fat acceptance! I make stickers too! Feel free to DM with commission inquiries. My Instagram is @ vanduckart  pic.twitter.com/iZ1y1Y11zj",1,0,0,0
1144637856251568129,397018174,2019-06-28 16:05:05,"""Fat acceptance is only for those who are size 16-30.""-one of @calla_evans research participant says. #WSC7 #fatacceptance #sizeinclusive",3,0,2,0
1125790406648614912,112598844,2019-05-07 15:52:03,Can Fat Thor Advance Fat Acceptance? – Your Fat Friend – Medium https://medium.com/@thefatshadow/can-fat-thor-advance-fat-acceptance-e578eeb5a6f8 …,0,0,0,0
856012492933222400,311696323,2017-04-23 05:10:56,"I am usually all for people making their own decisions. However, the ""fat acceptance"" movement is the biggest load of bs ever.",5,0,0,1
471156663840280577,15141072,2014-05-27 05:11:16,Interesting argument by the #fatacceptance crowd on @TheFeedSBS2 Can you be fat and healthy? #TheFeedSBS2 http://www.sbs.com.au/thefeed/blog/2014/05/26/fat-pride-growing-movement-people-looking-fat-acceptance …,0,0,0,1
499586257744584706,19494198,2014-08-13 16:00:20,Enjoy the 'Super Duper Incontrovertibly Incredible & Unrelentingly Exciting Fat Acceptance Test' - on #BookBuzzr- http://bit.ly/9AW2y9 ,0,0,0,2
520970661138030592,23487051,2014-10-11 16:14:19,"""thin privilege""? ""fat acceptance""? mind ur own goddam DOBIS & respect an adult's lifestyle choices u idiote who gives a s? b a good person",4,0,2,1
606757569021894656,468848577,2015-06-05 09:40:52,I think fat acceptance is fine lol if we encourage them to stay fat their unhealthy lifestyle will kill them faster,0,0,0,1
1038959990441160704,883091522182418432,2018-09-10 01:18:59,"Also, I thought women like you were for body positivity and fat acceptance.  I guess men with beer guts dont count right?  ",0,0,0,1
389846329163120640,238968542,2013-10-14 20:13:02,http://bit.ly/1bEVdg6  Obesity Fitness Weight Loss Fat Acceptance Happy Thanksgiving Eating Disorders FB Twitter UK India China Mexico RT5,0,0,0,2
726821502335750144,4101004822,2016-05-01 17:12:04,"Being overweight is too normal, fat shaming hurts feelings but fat acceptance kills",5,0,1,1
836043166084128768,2875896509,2017-02-27 02:39:58,I liked a @YouTube video from @50shadestv http://youtu.be/V6oHA9hFIVs?a  FAT ACCEPTANCE MEGA COMPILATION 2017 #PEOPLEOFSIZE (Savage Edition),1,0,0,1
991584578505707520,2444425668,2018-05-02 07:46:00,I liked a @YouTube video http://youtu.be/16yxosHqJLg?a  Exercises in Futility - Fat Acceptance Slam Poetry,0,0,0,1
868246488291262464,825613359592722433,2017-05-26 23:24:28,"If we are going to bring Islam and fat acceptance, we should have serious conversations about mandatory hijabs and sterilizations.",0,0,0,1
500055919863300096,708085992,2014-08-14 23:06:36,"Apparently there's a ""fat acceptance"" movement ? Uhh okay... I think that's called giving up...",1,0,0,1
12127526577,117451471,2010-04-13 22:22:08,Hahahahaha. I hate you. RT @akapellaatty: I'm sarting a fat acceptance group for obese rodents,0,0,0,1
882437278081187845,22837364,2017-07-05 03:13:36,it tells me they only care about fat acceptance when it's a fat person they know. the rest of us are fair game.,15,0,1,1
465575070908162048,1056588108,2014-05-11 19:32:01,"Fat. It’s the new black.: Fat acceptance movement
I know what you’re thinking this Mother’s Day weekend… we pr... http://bit.ly/1grJIpA ",0,0,0,2
1068657109422747649,751724550421880833,2018-12-01 00:04:44,"It didn't seem like fat acceptance. More of, motivation in his own lingo. Its better than getting depressed.",22,0,0,0
177858605930913792,108710781,2012-03-08 20:49:30,"hot news Fat Acceptance Group Takes on Disney, Sparks Anti-Obese Backlash http://bit.ly/wTfbtC ",0,0,0,2
17380750435,109178964,2010-06-30 02:18:03,"""Huge"" Marks Advance for Fat Acceptance in Hollywood: ""Huge"" features seven male and female teens and their emotio... http://bit.ly/duScd8",0,0,0,0
750992630385876992,56388705,2016-07-07 09:59:30,"Peeps in Leipzig it's your change to get involved in new fat acceptance group, habe a look: https://www.facebook.com/FatGrrrlActivism/posts/748734185229114 …",2,0,1,0
980147702313967617,235621728,2018-03-31 18:19:57,"If everyone is just choosing to be obese, then why is the US weight loss market valued at $66 billion USD in 2017 despite people jointing the ""fat acceptance movement"" because they have given up b/c the standard ""moderation"" advice only makes them fatter and fatter?",0,0,0,1
1170023531788328961,995633393814638592,2019-09-06 17:18:42,I’m fat but I cannot gel with the fat acceptance movement.  And to think I was hospitalised with anorexia in my teens.  Almost wish I were back there.  Anything is better than this.  I want to cut my flesh off. It is hideous.,0,0,0,1
17485630933,67608507,2010-07-01 11:19:11,quot;Huge quot; Is Advance For Fat Acceptance In Hollywood - Post Chronicle http://tinyurl.com/2vmybzn,0,0,0,0
461225062981332993,92900960,2014-04-29 19:26:38,The fat acceptance movement is a real thing... And we wonder why America is so obese,1,0,0,1
969258797670830085,73836853,2018-03-01 17:11:19,"You’re picking on the fact that I used caps now instead of taking a second to listen to what I’m saying, this isn’t some fat acceptance argument, I’m saying there are better ways of making this point that will WORK, this isn’t it and this is what people are taking issue with",0,1,0,2
46049304535769088,138226225,2011-03-11 03:26:24,"@the13thchapter  ...the ""fat acceptance movement"" w/ some family members today... It did not go well.",0,0,0,2
999867854894837760,3216262348,2018-05-25 04:20:47,"New painting, 840mm x 590mm, gouache, Work in Progress, 25/05/18, (as yet untitled). #bodypositive #fatacceptance #bodyconfidence #loveyourself #magnificient #fatandglorious #fatart #fatnudes #exuberance #gouache #ownyourcurves #fatpositive #bodylove #selflove @kristyk_fatgirlpic.twitter.com/USkeK8Zrum",0,1,0,0
95974274908684288,14271471,2011-07-26 21:50:24,Reprint: Why the world needs fat acceptance. - Inasmuch as I have struggled with my weight and my own fat... http://tumblr.com/xuf3pz28vb,0,0,0,0
760798987913801728,711797294501244929,2016-08-03 11:26:28,That's like Peter Murphy from Bauhaus running the Fat Acceptance Movement! What the living hell? https://twitter.com/roarkhoward_/status/760674994208792577 …,0,0,0,2
597441120092708864,712927915,2015-05-10 16:40:37,Fat Shaming vs. Fat Acceptance for the Heavy Weight Title of the World | The Acrimonious Clown http://ow.ly/MLprG  http://fb.me/7gb1qbm1U ,0,0,0,2
240539002917244929,822110,2012-08-28 19:59:01,"If intersectionality isn't part of #fatacceptance 101, it's not only bullshit but it's reinforcing kyriarchy like whoa.",0,0,10,0
1189832615072817152,2769066034,2019-10-31 09:12:56,The fat acceptance movement would be solved if it actually had movement,0,0,0,1
664890418237190144,319603324,2015-11-12 19:40:03,"Reminder that Fatman, Sponsored Superhero of Pizza Fat Corporation is the only true fat acceptance superhero. pic.twitter.com/4QY7ZgOdE3",1,1,0,0
1143157344848752644,1668143209,2019-06-24 14:02:04,"#BodyPositivity without #FatAcceptance is just straight-sized women needing an ego-boost. Listen to us when we talk about Fat People, Human Rights and Systemic Discrimination. https://twitter.com/v_solesmith/status/1143122850003509248 …",2,0,1,0
1068075943711973377,6322192,2018-11-29 09:35:23,"I'm sure it all comes from a decent place, it just leaves a bad taste in the mouth to see JJ and her ilk do this ""I weigh"" stuff and bolster their own profiles while the radicalism of body positivity and fat acceptance is shoved in the background",1,1,0,1
1167511918237626370,3211471,2019-08-30 18:58:27,"So after a year of monitoring repeat A1Cs it turns out I’m not diabetic. I am, however, pre-diabetic. This is really weird to navigate simultaneously with fat acceptance, but I have to. Intentional weight loss was very bad for me mentally.",4,0,0,0
1151067721414479874,92892764,2019-07-16 09:55:05,"Yeah, that sounds more like a fat acceptance stance... again, people should be free to choose to lose weight if they want to, or do anything else to their bodies — I just hope it is a choice relatively free from coercion...",1,1,0,2
838183123775074304,744757081375309824,2017-03-05 00:23:24,I liked a @YouTube video http://youtu.be/JEZ9SJ2a-g0?a  Fat People Don't Jerk Off to This (Fat Acceptance),0,0,0,1
467025901398810625,1959266862,2014-05-15 19:37:06,"http://ift.tt/1mYLJSk  More fat acceptance. The before and after, true body acceptance is hamstertastic. It's not hard ladies: eat heal...",0,0,0,1
571860184429019136,2203319070,2015-03-01 02:31:07,"@nudityhes @91ftirwin @wiIdhs They care about themselves and their domestic issues, like fat acceptance and sexism and catcalling",0,3,0,2
1183461696825909250,790331386712297472,2019-10-13 19:17:10,"You may think crocheting is innocent fun, but it's a doorway to fat acceptance",0,0,0,1
963086676196290561,37188820,2018-02-12 16:25:31,"Adipositivity Valentine Series, Day 12: No dunkees were harmed in the making of these photos. Just wet. 

http://theadipositivityproject.zenfolio.com/valentine/ea2f27510 …
#ValentineSeries #BigBigLove #FatLove #AintLoveGrand #Fuckyouism #FatAcceptance #BodyPositivity #BodyPositive #BodyPoz #BoPo",7,0,2,0
874872199781523456,2217849512,2017-06-14 06:12:41,I liked a @YouTube video http://youtu.be/zvD_SH-KQV4?a  BEST FEMINIST & SJW CRINGE COMPILATION 2016 #3 (FAT ACCEPTANCE EDITION),0,0,0,1
828857148981534720,826938816783060992,2017-02-07 06:45:18,But at the same time i dont agree with fat acceptance it's not something i want my son to look up to and it makes itself seem sexist,0,0,0,1
922500400854552576,718130220746846208,2017-10-23 16:30:09,#FatShaming #FatAcceptance #dietpains World's knowledge in 1 hand site: Women Admit Their Top Regrets -Can We Learn? http://bit.ly/1LjZ9ir ,0,0,0,2
771913386066059264,1911667621,2016-09-03 03:31:07,hey what ever happened to that fat acceptance leader? Oh right he fucking died,0,0,0,1
363063296854724609,18341276,2013-08-01 22:26:50,Do you write about fat acceptance online? Check out Ragen's tips for dealing with the haters. http://www.moreofmetolove.com/blogs/entry/how-to-handle-a-hater/ …,0,0,0,0
269782844967116801,6981492,2012-11-17 12:43:37,Okay so has anyone written the media obsession over Broadwell's body plus fat acceptance plus Hostess bankruptcy essay? Salon?,6,1,6,2
1082443631041105920,15204212,2019-01-08 01:07:27,How come there are no straight dudes who are pushing for fat acceptance? It's only women and gay dudes that are all about body positivity.,2,0,1,1
1017613253801840641,780585454135418881,2018-07-13 03:34:40,"I am old and starting to have a real dad bod I kinda love it, however I don't not wear clothes like I once did when I was cut......I do not accept fat acceptance either it is vert unhealthy ,and those people always go skimpy on the clothes.I don't wanna see a 230ib in a bath suit",1,2,0,1
653998173380284416,15795841,2015-10-13 18:18:09,"""Fat acceptance – also known as size acceptance, body positivity, weight neutrality – is a social and corporeal... http://fb.me/MllfsGt1 ",0,0,0,2
623661765885190144,2343141194,2015-07-22 01:12:06,This Army Bro Turned Fitness Instructor Just Tore Into All The Fat Acceptance Trends Going… http://riteio.us/BbjJX6 pic.twitter.com/51Gidtsjxd,0,0,0,1
1139928989156311040,1047225010794844160,2019-06-15 16:13:44,"It doesn't, fat acceptance regardless of potential or confirmed adverse effects is the problem. Be who and how you want, pushing for acceptance of being overweight isn't the move.",0,1,0,1
1144121481137405952,868713128,2019-06-27 05:53:12,"Um people saying the “body positive movement is for fat people” are wrong,the fat acceptance movement was for fat people, the body positive movement is for everyone.. it might have roots in the fat acceptance movement but that’s not what it’s about... but go off I guess ",0,0,0,2
1153817929084878851,28840211,2019-07-24 00:03:25,What is the process of filing a cease and desist against a creator who has used my likeness in their upcoming film demonizing the fat acceptance movement?,45,3,9,0
809496358679740416,90722611,2016-12-15 20:32:26,My mouth is watering & my stomach is grumbling. Gonna have to do a repeat of this this coming Saturday. #FatAcceptance #EffYourDietStandardspic.twitter.com/thPFqyB30o,0,1,0,0
771435913113141248,751114607641714688,2016-09-01 19:53:48,"RT NimbleNavgater: Fat acceptance is a death wish. Less Blogging, More jogging. pic.twitter.com/ayWMHgy6DV",0,0,0,1
619957050001461248,1514175132,2015-07-11 19:50:53,@tt0880 @alrightsure It does much less harm to people than fat acceptance. People who encourage obesity are the real assholes.,1,1,0,1
1111338858879156224,2424304063,2019-03-28 18:46:46,The fat acceptance movement leads people to believe that fat itself is inert. But there are also hormonal consequences to all that extra fat like extra estrogen that wreaks havoc on the whole body system. Fat acceptance doesn’t help people.,1,2,0,1
709493817418903553,2586452870,2016-03-14 21:38:02,"So if you aren't morbidly obese you aren't a ""proper"" fat now? Wtf is wrong with #fatacceptance pic.twitter.com/6i7pGe4hVp",5,2,3,1
1094775370383994881,846770326092464128,2019-02-11 01:49:22,"Just saw this article saying how all those people you see on the internet promoting fat acceptance, when they are in need of medical service they have to bring in a squad of firemen to carry them onto a stretcher and push them
And many of these firemen get injured doing so ",1,0,0,1
1136306903150137346,185570212,2019-06-05 16:20:51,"I don't think you understand. ""Body positive"" doesn't mean having a positive view of your body. It means that obesity is ok. Look it up, see the links with the fat acceptance movement.",0,0,0,1
465575086712303616,2339251818,2014-05-11 19:32:05,"[#IUnTalJonatahan] Fat. It’s the new black.: Fat acceptance movement
I know what you’re thi... http://bit.ly/1jvOmb6  [#IUnTalJonatahan]",0,0,0,2
585475420558127105,478934195,2015-04-07 16:13:12,"Photo: arthlete: Yes, this is a fat acceptance post in a weight loss blog. Deal with it. http://tmblr.co/Z7R4gm1hqOgEX ",0,0,0,0
374968294551592960,202668848,2013-09-03 18:53:02,How Black turns his heft into a rock-and-roll badge of honor. SCHOOL OF ROCK Wails Against The Man For Fat Acceptance http://bit.ly/1ebxx19 ,2,1,2,2
872372126854021120,4396486942,2017-06-07 08:38:17,"Instead of facing your mistakes and fighting the fat acceptance crowd wants you to huddle up and go ""i'm ok, i'm ok, i'm ok, so healthy""",0,0,0,0
979422573552431104,976635016271851521,2018-03-29 18:18:32,Im going on kind of an “extreme” diet starting April 1 and i feel like this would be a good place to talk about it but I also feel like Id attract hate. Im pro #haes and fat acceptance but i just I dont know how to explain I cant,0,0,0,0
734021452656087041,872606893,2016-05-21 14:02:06,Fat Acceptance Is The Leftist Elite’s Ultimate Cultural Doomsday Device http://roo.sh/tgw pic.twitter.com/ykeCSCYOhM,15,2,14,1
1070496822316142592,986982181208711168,2018-12-06 01:55:05,"Members of Fat Acceptance movement suing Boeing over airplane seat sizes - and they're right to do so

https://npcdaily.com/1184/members-of-fat-acceptance-movement-suing-boeing-over-airplane-seat-sizes/ …",1,1,0,0
